epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8282,0.01246,5.83913,1.54754,0.5522,0.15116,0.19758,0.08218,0.00955,7.8673,1.04494,0.00066087,0.00066087,0.00066087
2,81.7619,0.01276,3.3879,1.59629,0.17901,0.02326,0.02628,0.0141,0.01076,4.55721,1.26145,0.00130125,0.00130125,0.00130125
3,124.357,0.0124,2.26887,1.60807,0.76597,0.34259,0.46248,0.2001,0.01052,1.64771,1.15245,0.00191523,0.00191523,0.00191523
4,167.448,0.0122,1.79684,1.57065,0.46569,0.34884,0.34998,0.14036,0.01077,1.96422,1.07649,0.0018812,0.0018812,0.0018812
5,209.932,0.01227,1.64435,1.60538,0.41732,0.24419,0.26978,0.13366,0.00947,2.56244,1.11695,0.0018416,0.0018416,0.0018416
6,252.547,0.01151,1.46097,1.51897,0.65994,0.47674,0.5115,0.24623,0.0098,1.35226,1.0912,0.001802,0.001802,0.001802
7,295.118,0.0115,1.35214,1.52416,0.76396,0.48927,0.56556,0.27588,0.00896,1.41391,1.03124,0.0017624,0.0017624,0.0017624
8,337.635,0.01122,1.29294,1.49231,0.82453,0.5814,0.58438,0.30129,0.00835,1.19621,0.9938,0.0017228,0.0017228,0.0017228
9,380.461,0.01134,1.29279,1.50658,0.8127,0.59302,0.6638,0.33588,0.00964,1.07309,1.06583,0.0016832,0.0016832,0.0016832
10,423.192,0.01108,1.19685,1.48557,0.77493,0.56977,0.58804,0.3087,0.00842,1.887,0.96163,0.0016436,0.0016436,0.0016436
11,465.893,0.01089,1.16572,1.4455,0.85764,0.56046,0.61991,0.32495,0.00951,1.15617,1.09335,0.001604,0.001604,0.001604
12,508.608,0.01077,1.09194,1.44953,0.84041,0.6736,0.66327,0.3456,0.00807,1.14687,0.97679,0.0015644,0.0015644,0.0015644
13,551.597,0.01046,1.04881,1.41583,0.79544,0.54651,0.60701,0.30985,0.00964,1.3038,1.12904,0.0015248,0.0015248,0.0015248
14,594.249,0.0103,1.04939,1.40024,0.91252,0.60465,0.65846,0.36451,0.00918,0.98934,1.05551,0.0014852,0.0014852,0.0014852
15,636.951,0.01037,1.01109,1.41035,0.74119,0.48837,0.57533,0.30975,0.009,1.17389,1.00511,0.0014456,0.0014456,0.0014456
16,679.758,0.01005,0.97999,1.37931,0.90367,0.66279,0.71817,0.3746,0.00875,1.34036,1.03152,0.001406,0.001406,0.001406
17,722.738,0.00997,0.96907,1.35978,0.85011,0.65953,0.68559,0.3674,0.00901,0.92332,1.07963,0.0013664,0.0013664,0.0013664
18,765.405,0.00988,0.92515,1.34456,0.89895,0.56977,0.64031,0.32455,0.0102,1.10972,1.12295,0.0013268,0.0013268,0.0013268
19,807.913,0.00983,0.90555,1.34542,0.9545,0.60465,0.65263,0.33063,0.00951,0.99165,1.12376,0.0012872,0.0012872,0.0012872
20,850.667,0.00959,0.88457,1.32782,0.88232,0.5231,0.59334,0.32407,0.00926,1.09928,1.02441,0.0012476,0.0012476,0.0012476
21,893.621,0.00939,0.8672,1.30462,0.87053,0.48837,0.58847,0.33721,0.00914,1.27532,1.05233,0.001208,0.001208,0.001208
22,936.444,0.00925,0.85287,1.30605,0.9001,0.54651,0.62156,0.28746,0.01028,1.29754,1.19124,0.0011684,0.0011684,0.0011684
23,979.291,0.00912,0.82185,1.28446,0.81136,0.63953,0.68913,0.39034,0.00899,0.85457,1.03449,0.0011288,0.0011288,0.0011288
24,1022.05,0.0093,0.82699,1.29287,0.89403,0.60465,0.69618,0.33344,0.00925,0.92699,1.04858,0.0010892,0.0010892,0.0010892
25,1064.9,0.0092,0.79969,1.27991,0.888,0.59302,0.67143,0.3356,0.00918,0.94041,1.10421,0.0010496,0.0010496,0.0010496
26,1107.46,0.00888,0.76674,1.24948,0.86474,0.56977,0.64625,0.3484,0.00963,1.0106,1.11285,0.00101,0.00101,0.00101
27,1150.16,0.00864,0.7396,1.23218,0.92222,0.54651,0.65597,0.33956,0.00994,1.00587,1.19341,0.0009704,0.0009704,0.0009704
28,1192.72,0.00882,0.74403,1.25532,0.78838,0.60648,0.64496,0.32849,0.01032,1.0159,1.19188,0.0009308,0.0009308,0.0009308
29,1235.41,0.00878,0.74641,1.24611,0.93265,0.5814,0.65103,0.3102,0.01019,0.96922,1.253,0.0008912,0.0008912,0.0008912
30,1278.23,0.00859,0.73276,1.23299,0.84221,0.55814,0.60684,0.27826,0.01052,1.12476,1.27979,0.0008516,0.0008516,0.0008516
31,1320.82,0.00861,0.718,1.23874,0.80919,0.59177,0.61974,0.34381,0.00948,1.0538,1.15093,0.000812,0.000812,0.000812
32,1363.66,0.00869,0.73057,1.23052,0.77397,0.53488,0.57531,0.31515,0.0101,1.09661,1.18309,0.0007724,0.0007724,0.0007724
33,1406.34,0.00824,0.69164,1.1956,0.92483,0.5814,0.6272,0.29687,0.01028,0.97273,1.24796,0.0007328,0.0007328,0.0007328
